record,Agent,Price,Size,Bedrooms,Baths,Pool (yes is 1),Garage (Yes is 1),Days,Township,Mortgage type,Years,FICO,Default (Yes is 1),,,,,,,,,,
1,Marty,206424,1820,2,1.5,1,1,33,2,Fixed,2,824,0,,,,,,,,,,
2,Rose,346150,3010,3,2,0,0,36,4,Fixed,9,820,0,,,,,,,,,,
3,Carter,372360,3210,4,3,0,1,21,2,Fixed,18,819,0,,,,,,,,,,
4,Peterson,310622,3330,3,2.5,1,0,26,3,Fixed,17,817,0,,,,,,,,,,
5,Carter,496100,4510,6,4.5,0,1,13,4,Fixed,17,816,0,,,,,,,,,,
6,Peterson,294086,3440,4,3,1,1,31,4,Fixed,19,813,0,,,,,,,,,,
7,Carter,228810,2630,4,2.5,0,1,39,4,Adjustable,10,813,0,,,,,,,,,,
8,Isaacs,384420,4470,5,3.5,0,1,26,2,Fixed,6,812,0,,,,,,,,,,
9,Peterson,416120,4040,5,3.5,0,1,26,4,Fixed,3,810,0,,,,,,,,,,
10,Isaacs,487494,4380,6,4,1,1,32,3,Fixed,6,808,0,,,,,,,,,,
11,Rose,448800,5280,6,4,0,1,35,4,Fixed,8,806,1,,,,,,,,,,
12,Peterson,388960,4420,4,3,0,1,50,2,Adjustable,9,805,1,,,,,,,,,,
13,Marty,335610,2970,3,2.5,0,1,25,3,Adjustable,9,801,1,,,,,,,,,,
14,Rose,276000,2300,2,1.5,0,0,34,1,Fixed,20,798,0,,,,,,,,,,
15,Rose,346421,2970,4,3,1,1,17,3,Adjustable,10,795,0,,,,,,,,,,
16,Isaacs,453913,3660,6,4,1,1,12,3,Fixed,18,792,0,,,,,,,,,,
17,Carter,376146,3290,5,3.5,1,1,28,2,Adjustable,9,792,1,,,,,,,,,,
18,Peterson,694430,5900,5,3.5,1,1,36,3,Adjustable,10,788,0,,,,,,,,,,
19,Rose,251269,2050,3,2,1,1,38,3,Fixed,16,786,0,,,,,,,,,,
20,Rose,547596,4920,6,4.5,1,1,37,5,Fixed,2,785,0,,,,,,,,,,
21,Marty,214910,1950,2,1.5,1,0,20,4,Fixed,6,784,0,,,,,,,,,,
22,Rose,188799,1950,2,1.5,1,0,52,1,Fixed,10,782,0,,,,,,,,,,
23,Carter,459950,4680,4,3,1,1,31,4,Fixed,8,781,0,,,,,,,,,,
24,Isaacs,264160,2540,3,2.5,0,1,40,1,Fixed,18,780,0,,,,,,,,,,
25,Carter,393557,3180,4,3,1,1,54,1,Fixed,20,776,0,,,,,,,,,,
26,Isaacs,478675,4660,5,3.5,1,1,26,5,Adjustable,9,773,0,,,,,,,,,,
